"","location","ele","time","name","date","species.code","sex..M.F.","age.pelage..J.A.S.","Rat.ID","left.eartag","right.eartag","RFID","new.animal...Y.N.","total.mass..g.","female..perforate..partially.perforate..imperforate.","female.nipple.size..S.M.L.","pregnant...Y.N.Possibly.","fleas","ticks","male..scrotal..nonscrotal.","Notes","X","X.1","X.2","date_index","year","rat_id_index","coords.x1","coords.x2","optional"
"24","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2017-05-15,"Nefu","F","A",6397,"6397","","1B797025C4","N",215,"P","L","N","Y","N","","ran into 2B",NA,"",NA,32,2017,156,-122.154679996893,38.5018399637192,TRUE
"25","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2017-07-09,"Nefu","M","J",5533,"","5533","","Y",95,"","","","N","N","NS","went back into 2B, tail rattle",NA,"",NA,34,2017,55,-122.154679996893,38.5018399637192,TRUE
"26","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2013-08-10,"Nefu","F","S",5770,"5770","","1B79701FA3","Y",135,"I","S","N","","","","",NA,"",NA,12,2013,93,-122.154679996893,38.5018399637192,TRUE
"27","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2016-07-10,"Nefu","F","J",6331,"","6331","003BDDB060","Y",100,"I","S","N","Y","N","","very squirmy, went back to 2B; (writing bad)",NA,"",NA,28,2016,123,-122.154679996893,38.5018399637192,TRUE
"28","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2018-07-01,"NeFu","M","A",429,"0429","","0015C46598","N",200,"","","","Y","Y","NS","Radio collar; base of tail losing fur; back into house",NA,"",NA,44,2018,34,-122.154679996893,38.5018399637192,TRUE
"29","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2019-07-28,"NeFu","M","A",429,"0429","","0015C46598","N",227,"","","","N","N","NS","climbed up WC 04 tree; clipped off collar",NA,"",NA,53,2019,34,-122.154679996893,38.5018399637192,TRUE
"30","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2014-06-07,"Nefu","F","A",5770,"5770","","1B79701FA3","N",175,"I","M","N","N","N","","",NA,"",NA,19,2014,93,-122.154679996893,38.5018399637192,TRUE
"31","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2014-07-12,"Nefu","F","A",5770,"5770","","1B79701FA3","N",185,"I","M","N","N","N","","Scaly, patchy tail. Dried milk on nipples.",NA,"",NA,20,2014,93,-122.154679996893,38.5018399637192,TRUE
"32","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2014-10-17,"Nefu","F","A",5770,"5770","","1B79701FA3","N",177,"I","S","N","","","","box test- lost ear tag (5770)",NA,"",NA,21,2014,93,-122.154679996893,38.5018399637192,TRUE
"33","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2018-05-06,"NeFu","M","A",429,"0429","","0015C46598","Y",189,"","","","Y","N","NS","re-tagged PIT",NA,"",NA,39,2018,34,-122.154679996893,38.5018399637192,TRUE
"34","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2013-06-16,"Nefu","M","A",6371,"6371","","1B79701C9E","Y",230,"","","","N","N","NS","",NA,"",NA,9,2013,148,-122.154679996893,38.5018399637192,TRUE
"35","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2015-06-28,"Nefu","M","A",6325,"6325","","1B79701A33","N",240,"","","","","","","escaped bag before other measurements",NA,"",NA,22,2015,121,-122.154679996893,38.5018399637192,TRUE
"36","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2017-06-11,"Nefu","F","A",6397,"6397","","1B797025C4","N",197,"P","L","N","Y","N","","recap, ran to left of house toward 36",NA,"",NA,33,2017,156,-122.154679996893,38.5018399637192,TRUE
"37","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2014-05-11,"Nefu","F","A",5770,"5770","","1B79701FA3","N",170,"I","M","N","","","","Dried milk on nipples",NA,"",NA,18,2014,93,-122.154679996893,38.5018399637192,TRUE
"38","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2018-06-03,"NeFu","M","A",429,"0429","","0015C46598","N",190,"","","","N","N","NS","ran downhill up tree",NA,"",NA,40,2018,34,-122.154679996893,38.5018399637192,TRUE
"39","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2019-05-12,"NeFu","F","A",340,"0340","","003D2D25CB","N",200,"P","M","N","N","N","","went into nest",NA,"",NA,50,2019,25,-122.154679996893,38.5018399637192,TRUE
"40","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2017-07-09,"Nefu","F","S",5522,"5522","","","Y",105,"I","S","P","Y","N","","white tail tio, hanging in tree above WC4",NA,"",NA,34,2017,51,-122.154679996893,38.5018399637192,TRUE
"41","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2013-07-13,"Nefu","M","A",6371,"6371","","1B79701C9E","N",235,"","","","","","NS","",NA,"",NA,10,2013,148,-122.154679996893,38.5018399637192,TRUE
