YEAR,Eartags,Sex,RFID_HEX1_10,RFID_HEX2_10,RFID_HEX3_10,RFID_HEX4_10,Comments,Eartag_1,Eartag_2,Eartag_3
2013,6372,M,1B79701E5D,,,,,6372,,
2013,6373,M,1B7970231C,1B7970211C,,,,6373,,
2014,6385,M,1B79702789,,,,,6385,,
2014,6387,M,1B7970276B,,,,,6387,,
2014,6388,M,1B797021BB,,,,,6388,,
2016,6391,F,003BDDB04E,,,,,6391,,
2017,6395,F,0015C465C7,0015C4659C,,,,6395,,
2015,6397,F,1B79702564,1B797025C4,,,,6397,,
2014,6399,F,1B797022F8,,,,,6399,,
2014,6400,F,1B79701EB9,,,,,6400,,
2013,6584,F,1B797026B3,,,,,6584,,
2017,5532/6340,F,0015C465B2,0015C465BA,,,,5532,6340,
2017,6345/5732,F,003BDDB07F,0015C465D6,,,,6345,5732,6305
9999,TST1,,3BFAD5EB,,,,,,,
9999,TST2,,06054AB5,,,,,,,
9999,TST3,,3BDDB0A1,,,,,,,
9999,TST4,,3BE23A93,,,,,,,
